,Race,Num_of_deaths,Mental_Percent,Gen_Percent
0,White,186,24.766977363515313,75.23302263648469
1,Black,52,13.756613756613756,86.24338624338624
2,Hispanic,48,19.51219512195122,80.48780487804879
3,Asian,4,21.052631578947366,78.94736842105263
4,Native,4,21.052631578947366,78.94736842105263
5,Other,1,10.0,90.0
6,Unknown,32,28.07017543859649,71.9298245614035
