Name,Weight_in_lbs,Origin
Male,9,Disney
Female,6,Disney
Multiple Genders,5,Disney
Black,2,Disney
White,6,Disney
Hispanic,0,Disney
Asian,1,Disney
Native/Indigenious,0,Disney
Multi-Racial,4,Disney
No Race,7,Disney
Comedy,6,Disney
Animation,10,Disney
Documentary,4,Disney
