Title,As of,Rank,Year to Date Rank,Last Week Rank,Type,Netflix Exclusive,Netflix Release Date,Days_Top_10,Viewership Score
Julie and the Phantoms,9/15/20,10,10,-,TV Show,Yes,10-Sep-20,4,4
CastleVania,5/16/21,10,7,-,TV Show,Yes,7-Jul-17,3,11
Transformers: Revenge of th…,2/4/22,8,9,-,Movie,,1-Feb-22,3,9
The Thundermans,11/16/21,10,-,-,TV Show,,1-Nov-21,3,4
Cooked with Cannabis,4/24/20,10,10,-,TV Show,Yes,20-Apr-20,3,3
Sweet Home,12/25/20,10,9,-,TV Show,Yes,18-Dec-20,3,5
Passing,11/14/21,7,10,-,Movie,Yes,10-Nov-21,3,9
Munich: The Edge of War,1/27/22,8,8,-,Movie,Yes,21-Jan-22,3,7
Snowden,11/6/20,9,6,-,Movie,,1-Nov-20,3,10
Big Daddy,10/8/20,10,7,-,Movie,,1-Oct-20,3,10
Malibu Rescue: The Next Wave,8/7/20,7,4,-,Movie,Yes,3-Aug-20,3,18
Ink Master,12/10/21,8,8,-,TV Show,,15-Sep-14,3,7
Shooter,3/11/22,8,8,-,Movie,,1-Aug-14,3,7
Battleship,3/4/22,10,10,-,Movie,,1-Mar-22,3,6
Zookeeper,8/2/20,7,8,-,Movie,,26-Jul-20,3,9
Fear Street Part 3: 1666,7/19/21,7,4,-,Movie,Yes,16-Jul-21,3,19
Kung Fu Panda,7/9/21,10,9,-,Movie,,1-Jul-21,3,5
The Cabin with Bert Kreischer,10/17/20,9,7,-,TV Show,Yes,13-Oct-20,3,11
The Main Event,4/15/20,9,8,-,Movie,Yes,10-Apr-20,3,6
Rust Creek,12/4/20,9,4,-,Movie,,30-Nov-20,3,10
American Me,4/29/21,8,9,-,Movie,,17-Apr-21,3,7
The Netflix Afterparty,1/5/21,10,8,-,TV Show,Yes,2-Jan-21,3,6
The Hangover,4/9/20,10,10,-,Movie,,1-Jul-19,3,3
Chris DâElia: No Pain,4/17/20,9,4,-,Stand-Up Comedy,Yes,14-Apr-20,3,16
Rust Valley Restorers,8/24/20,10,10,-,TV Show,Yes,23-Aug-19,3,3
Trinkets,8/28/20,8,6,-,TV Show,Yes,14-Jun-19,3,10
The Devil Below,6/17/21,8,10,-,Movie,,13-Jun-21,3,5
The Game,8/21/20,8,8,-,TV Show,,15-Sep-14,3,8
Mr. Iglesias,6/20/20,6,4,-,TV Show,Yes,21-Jun-19,3,20
The Puppet Master: Hunting …,1/21/22,10,8,-,TV Show,Yes,18-Jan-22,3,8
A Babysitterâs Guide to Mon…,10/19/20,6,6,-,Movie,Yes,15-Oct-20,3,15
"Coronavirus, Explained",4/29/20,8,4,-,TV Show,Yes,26-Apr-20,3,18
Midnight at the Magnolia,11/10/20,9,9,-,Movie,,5-Nov-20,3,5
Masters of the Universe: Re…,7/26/21,9,6,-,TV Show,Yes,23-Jul-21,3,12
Home Game,6/30/20,9,6,-,TV Show,Yes,26-Jun-20,3,8
Tremors: Shrieker Island,10/23/20,7,6,-,Movie,,20-Oct-20,3,11
No One Gets Out Alive,10/1/21,4,2,-,Movie,Yes,29-Sep-21,2,16
Against the Ice,3/4/22,9,9,-,Movie,Yes,2-Mar-22,2,4
Octonauts & The Ring of Fire,4/2/21,9,10,-,Movie,Yes,30-Mar-21,2,3
Transformers: War for Cyber…,8/1/20,9,7,-,TV Show,Yes,30-Jul-20,2,6
Animal,11/15/21,6,10,-,TV Show,Yes,10-Nov-21,2,6
White Boy,4/5/21,9,8,-,Movie,,1-Apr-21,2,5
American Pie: Reunion,11/19/21,9,-,-,Movie,,16-Nov-21,2,9
"Ariana Grande: Excuse Me, I…",12/23/20,5,2,-,Concert/Perf…,Yes,21-Dec-20,2,15
Anaconda,9/8/20,9,9,-,Movie,,1-Sep-20,2,4
Ancient Aliens,9/17/20,10,8,-,TV Show,,17-Sep-19,2,4
A Haunted House 2,6/15/21,9,9,-,Movie,,10-Jun-21,2,4
Worn Stories,4/4/21,5,7,-,TV Show,Yes,1-Apr-21,2,10
WWII in Color: Road to Victory,12/27/21,10,-,-,TV Show,Yes,22-Dec-21,2,4
Dare Me,1/1/21,9,10,-,TV Show,,29-Dec-20,2,3
The Witcher: Nightmare of t…,8/25/21,9,9,-,Movie,Yes,23-Aug-21,2,4
The Croods,1/1/21,10,-,-,Movie,,29-Jul-19,2,2
Double Jeopardy,7/7/20,10,10,-,Movie,,1-Jun-16,2,2
Dream Home Makeover,10/20/20,10,9,-,TV Show,Yes,16-Oct-20,2,3
Replicas,11/4/21,10,9,-,Movie,,1-Nov-21,2,3
Black Island,8/20/21,10,10,-,Movie,Yes,18-Aug-21,2,2
The Half of It,5/4/20,10,9,-,Movie,Yes,1-May-20,2,3
Game On: A Comedy Crossover…,8/12/20,7,10,-,TV Show,Yes,10-Aug-20,2,5
The Green Hornet,4/21/20,10,10,-,Movie,,18-Apr-20,2,2
Glow Up,8/19/20,10,10,-,TV Show,Yes,6-Dec-19,2,2
Rogue Warfare: The Hunt,8/4/20,9,3,-,Movie,,1-Aug-20,2,10
Latte & the Magic Waterstone,8/5/20,10,7,-,Movie,Yes,31-Jul-20,2,5
The Life Ahead,11/16/20,7,9,-,Movie,Yes,13-Nov-20,2,6
Hasta el cielo,4/4/21,10,5,-,Movie,Yes,2-Apr-21,2,7
Here Comes the Boom,11/24/21,6,7,-,Movie,,20-Nov-21,2,9
Klaus,12/26/20,9,7,-,Movie,Yes,15-Nov-19,2,6
Hometown Holiday,11/18/20,9,9,-,Movie,,15-Nov-20,2,4
Hop,4/5/21,5,-,-,Movie,,16-Jan-20,2,10
How to Get Away with Murder,6/18/20,10,9,-,TV Show,,24-Sep-15,2,3
Kim's Convenience,6/5/21,10,10,-,TV Show,Yes,13-Jul-18,2,2
If Anything Happens I Love You,11/25/20,10,8,-,Movie,Yes,20-Nov-20,2,4
Single all the Way,12/4/21,10,7,-,Movie,Yes,2-Dec-21,2,5
The Liberator,11/14/20,6,6,-,TV Show,Yes,11-Nov-20,2,10
Feria: The Darkest Light,2/1/22,8,10,-,TV Show,Yes,28-Jan-22,2,4
Demon Slayer: Kimetsu No Yaiba,1/27/21,9,9,-,TV Show,,22-Jan-21,2,4
Bo Burnham: Inside,6/10/21,10,-,-,Stand-Up Comedy,Yes,30-May-21,2,2
The Players Club,4/4/20,10,8,-,Movie,,1-Apr-20,2,4
The Paramedic,9/18/20,7,9,-,Movie,Yes,16-Sep-20,2,6
Puss in Boots,9/8/20,10,10,-,Movie,,1-Sep-20,2,2
The Stand-In,4/14/21,7,6,-,Movie,,10-Apr-21,2,9
Can You Keep a Secret?,2/2/22,9,10,-,Movie,,31-Jan-22,2,3
Quantum of Solace,9/2/20,6,9,-,Movie,,31-Aug-20,2,7
The White Tiger,1/25/21,5,6,-,Movie,Yes,22-Jan-21,2,11
Community,4/12/20,10,-,-,TV Show,,1-Apr-20,2,2
Step Up Revolution,3/3/21,10,-,-,Movie,,1-Mar-21,1,1
Your Highness,5/4/21,9,-,-,Movie,,1-May-21,1,2
How to Train Your Dragon 2,9/16/20,10,-,-,Movie,,11-Sep-20,1,1
Salt,4/3/20,9,-,-,Movie,,1-Apr-20,1,2
House at the End of the Street,5/13/20,10,-,-,Movie,,8-May-13,1,1
Are We There Yet?,2/8/21,10,-,-,Movie,,1-Feb-21,1,1
Chosen,1/28/22,4,-,-,TV Show,Yes,27-Jan-22,1,7
The BFG,3/28/21,10,-,-,Movie,,15-Mar-21,1,1
Scary Stories to Tell in th…,1/3/22,10,-,-,Movie,,1-Jan-22,1,1
Space Sweepers,2/8/21,8,-,-,Movie,Yes,5-Feb-21,1,3
Christmas on the Square,11/23/20,8,-,-,Movie,Yes,22-Nov-20,1,3
Hannibal,6/12/20,10,-,-,TV Show,,5-Jun-20,1,1
The Secret Life of Pets 2,3/28/21,9,-,-,Movie,,27-Dec-19,1,2
The Lucky One,2/3/22,10,-,-,Movie,,1-Feb-22,1,1
Grumpy Christmas,12/22/21,8,-,-,Movie,Yes,21-Dec-21,1,3
White Christmas,12/25/21,10,-,-,Movie,,15-Nov-20,1,1
The Defeated,8/23/21,10,-,-,TV Show,Yes,18-Aug-21,1,1
Trollhunters: Rise of the T…,7/23/21,9,-,-,Movie,Yes,21-Jul-21,1,2
The Office,7/15/20,10,-,-,TV Show,,15-Jan-07,1,1
Animals on the Loose: A You…,2/17/21,9,-,-,Movie,Yes,16-Feb-21,1,2
Dare Me: Season 1,12/31/20,10,-,-,TV Show,,29-Dec-20,1,1
Fistful of Vengeance,2/18/22,6,-,-,Movie,Yes,17-Feb-22,1,5
Dark,7/1/20,9,-,-,TV Show,Yes,1-Dec-17,1,2
Dark Shadows,1/5/22,10,-,-,Movie,,1-Jan-22,1,1
Elves,11/29/21,8,-,-,TV Show,Yes,28-Nov-21,1,3
Rango,1/1/21,8,-,-,Movie,,28-Dec-20,1,3
One on One,10/16/20,9,-,-,TV Show,,15-Oct-20,1,2
Jojoâs Bizarre Adventure,12/2/21,6,-,-,TV Show,,8-Mar-19,1,5
