,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
9440,s9441,Movie,Nicholas Nickleby,Douglas McGarth,"Charlie Hunnam, Christopher Plummer, Anne Hathaway, Romola Garai, Jim Broadbent, Henry McGrath, Hugh Mitchell, Poppy Rogers, Jessie Lou Roberts",,,2002,PG,133 min,"Adventure, Drama","After Nicholas' father dies and leaves the family penniless, the Nickleby family moves to London to stay with their Uncle Ralph. Ralph turns abusive and separates the family, which includes sending Nicholas to the cruel and wicked Wackford Squeers. At this horrible escape from the school and set off to reunite the Nickleby family."
9441,s9442,Movie,Mystery of the Nile,Jordi Llompart,,,,2005,ALL,48 min,"Documentary, Special Interest","In 2004, a team of scientists guided by geologist Pasquale Scaturro and kayaker Gordon Brown set out on a voyage to be the first people to traverse the entirety of Africa's Nile River. The expedition takes the group past historic ruins at the heart of Ancient Egyptian Civilization, but this terrific journey also comes with countless dangers from one of the most famous rivers in history."
9453,s9454,Movie,Faith In Humanity Restored,"Dean Kamitsis, Michael Whitfield",,,,2018,7+,8 min,Documentary,A short documentary exploring the decline in numbers of people being interested in religion and/or attending church.
9455,s9456,Movie,Eric Clapton: Standing at the Crossroads,Robin Bextor,"Eric Clapton, Jack Bruce, Keith Richards",,,2021,7+,92 min,Documentary,"Eric Clapton is one of the most influential guitarists of all time. He ranked 2nd in Rolling Stone magazines list of the ""100 Greatest Guitarists of All Time"" and 4th in Gibson's ""Top 50 Guitarists of All Time"". In this documentary feature he is interviewed in depth with contributions from Keith Richards, John Mayall, The Yardbirds, Jack Bruce and many more. It is the definitive Clapton biography."
9461,s9462,Movie,CoComelon Halloween Songs,,,,,2021,ALL,40 min,Kids,"It's Halloween season! Join JJ, his family and friends on a CoComelon Halloween journey. Costumes! Candy! And of course some friendly spooky scares. Sing along with CoComelon to all the Halloween fun for kids!"
9462,s9463,Movie,Clip: Act 5 - Title 5,1,1,,,2021,ALL,61 min,Animation,1
9463,s9464,Movie,Clip: Act 5 - Title 3,1,1,,,2021,ALL,61 min,Action,1
9470,s9471,Movie,A Monkey's Tale,Jean-Francois Laguionie,"Wendy Wolfcarius, John Hurt, Rik Mayall, Michael York, Michael Gambon, Sally Ann Marsh, Matt Hill, Shirley Anne Field, Diana Quick, French Tickner, William Vanderpuye, Paul Dobson, Michael Dobson, Peter Elliott, Janyse Jaud, Alix Bates, Chris Connor, Anthony Jackson, Alexander John, Chantal Keast, Miles Laddie, Chris Lang",,,2000,G,76 min,Animation,"Two monkey tribes are divided by centuries of fear and prejudice. When curious teenager Kom plummets from his home, his family consider him lost forever. Below, however, his life is spared, and he soon becomes the King's favourite - which angers the Chancellor, who plans seize power for himself. Kom and loyal maid, Gina, uncover the plot, plan to reunite the two tribes and save the day."
9471,s9472,Movie,50 Summers,Dan Napoli,Rob Riggle,,,2020,7+,93 min,"Documentary, Sports",Follow the evolution of Minor League Baseball over the last half century through the ups and downs of the Omaha franchise as they kick-off their historic 50th season as the affiliate of the KC Royals -the longest in Triple A baseball.
9473,s9474,Movie,Warning From Space,Kôji Shima,"Keizô Kawasaki, Toyomi Karita, Bin Yagisawa",,,1956,7+,87 min,"Action, Drama, Science Fiction","As Japan is rocked by mysterious sightings of UFOs over Tokyo and large one-eyed aliens attempting contact, scientists collaborate to investigate the unexpected rise in extraterrestrial activity. Unbeknownst to them, one of the aliens has already assumed human form and is about to deliver a very important message... that could be humanity's last hope for survival."
9477,s9478,TV Show,Too Too Boy,,"Vishal TM, Rangarao",,,2019,ALL,1 Season,"Animation, Kids","Too Too Boy is all set to laugh and learn! He's full of wild ideas, but trouble seems to find him at every corner. Everything and anything amazes him as he explores the world around him with wonder and excitement."
9478,s9479,Movie,The Whistle Blower,Simon Langton,"Michael Caine, James Fox, Nigel Havers, Sir John Gielgud, Felicity Dean",,,1987,PG,104 min,"Drama, Suspense","In this gripping espionage thriller, English patriot & army vet Frank Jones (Michael Caine) is only mildly concerned when his son Bob, who works for the British Secret Service, says dirty dealings are afoot at the agency. But when Bob is murdered under mysterious circumstances, Frank's inquiries thrust him into the middle of a rat's nest of government deceit that could cost Frank his own life!"
9484,s9485,TV Show,The Best of Videogyan,,"Vishal TM, Rangarao",,,2021,ALL,1 Season,"Animation, Kids","From singing gorillas to classic nursery rhymes and fairy tales, the best of Videogyan is a collection of animated stories and sing alongs for young children."
9485,s9486,TV Show,Piper's Pony Tales,,,,,2021,ALL,1 Season,"Animation, Kids","When Piper makes up stories about her toy ponies, they magically come to life through the power of her imagination, transporting her and her friends into amazing adventures!"
9486,s9487,TV Show,Pinkfong! Let's Booksplore with Hogi: Space,,,,,2021,ALL,1 Season,"Animation, Kids",Welcome to the mysterious library where books fly around! Follow Hogi in this adventure. Which book will Hogi open next?
9490,s9491,TV Show,Nick Baker's Weird Creatures,,Nick Baker,,,2007,7+,1 Season,Documentary,"Nick Baker searches for some of nature's Weird Creatures - from the master of disguise the mimic octopus to the tiny primate who's eyes are literary bigger than it's belly. Some would dismiss these oddities as freaks of nature, but for Nick, these are the unsung heroes of evolutionary biology."
9499,s9500,Movie,Kept Woman,Michel Poulette,"Courtney Ford, Shaun Benson, Andrew W. Walker, Rachel Wilson",,,2015,PG-13,90 min,"Drama, Suspense","Jessica and her fiancé finally move out of the city and into their dream home on a quiet suburban street. When their strange and mysterious new neighbor lures Jessica inside his home, she finds herself imprisoned in a meticulously decorated 1950's bunker."
9501,s9502,Movie,Invasion of the Cubecumbers,"Michael Thoenes, Andrea Thoenes","Sampley Barinaga, Harrison Stone, Brittany J. Smith, Noah Lombard, Avery Patz, JD Thorne, Brannon Hollingsworth",,,2020,ALL,22 min,"Animation, Kids, Special Interest","When Kip applies too much fertilizer to a crop of cubecumbers, he and his family scramble to put the abundance to good use and learn some critical lessons in the process. Cubekins is a 3D animated Christian kids' show for ages 4-7 that's all about family, faith, and fun! Follow Kip's adventures which show that even though the world may change from moment to moment, our Heavenly Father does not."
