,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
5278,s5279,Movie,Joker,Raju Murugan,"Guru Somasundaram, Ramya Pandiyan, Gayathri, Ramasamy, Bava Chelladurai, Bala Murugan",India,,2016,ALL,129 min,"Comedy, Drama, International","Mannar (protagonist), a villager, who declares himself as Indian President, protests government for absurdities. On a trial, he reveals his past. When everyone sees him as Joker, audience are questioned at the end."
5290,s5291,Movie,Dilwale Dulhania Le Jayenge,Aditya Chopra,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, Anupam Kher, Satish Shah, Achala Sachdev, Himani Shivpuri",India,,1995,7+,190 min,Romance,"When Raj (Shahrukh Khan) & Simran (Kajol) first met on an inter-rail holiday in Europe, it wasn’t exactly Love at first sight but when Simran is taken back to India for an arranged marriage, things change. Encouraged by his father Dharamvir (Anupam Kher), Raj decides to fly down from London to not just win his Bride but her whole family and the blessings of her father Baldev Singh (Amrish Puri)."
5296,s5297,Movie,Daag,Yash Chopra,"Rajesh Khanna, Sharmila Tagore, Rakhee Gulzar, Prem Chopra, Madan Puri, Iftekhar, Manmohan Krishna, Kader Khan, Achala Sachdev, A.K. Hangal",India,,1973,7+,146 min,"Drama, International","Sunil (Rajesh Khanna) is forced to leave behind his new bride Sonia (Sharmila Tagore), when he kills her would-be rapist. A new identity beckons when Sunil meets Chandni (Rakhee) and ends up marrying her to give her illegitimate child a father’s name. Now a respected Mayor of his town, Sunil’s past catches up with him and brings together Sunil and Sonia. Can he outrun his destiny for long?"
5297,s5298,Movie,Chandni,Yash Chopra,"Vinod Khanna, Rishi Kapoor, Sridevi, Waheeda Rehman, Sushma Seth, Beena Banerjee",India,,1989,ALL,180 min,"Drama, International, Romance","In a cruel stroke of fate, Chandni’s (Sridevi) heart is shattered as Rohit (Rishi Kapoor) disappears from her life. When she meets Lalit (Vinod Khanna) who is fighting the demons of tragic memories, they both find solace in this new friendship. Lalit’s affection gives a new direction to Chandni’s life, but Lalit falls for her and Chandni resigns to destiny, till one day, Rohit knocks on her door."
5301,s5302,Movie,Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Manish Chaudhary",India,,2010,ALL,139 min,Romance,"Shruti (Anushka Sharma), girl in her 20's, focused, determined as well ambitious. Bittoo (Ranveer Singh), on the other hand, has no real aim in life. They become partners in their very own “Wedding planning ka bijness”. Together, their friendship and business, enters the ups and downs of the lavish Delhi weddings and while trying to find themselves, Shruti and Bittoo discover each other."
5306,s5307,Movie,Adhe Kangal,Rohin Venkatesan,"Kalaiyarasan, Janani Iyer, Sshivada",India,,2017,ALL,119 min,"International, Romance","A blind chef gets his eyesight back, but the girl he had fallen in love with is missing. What has happened to her? Is morphed into thriller followed by an abduction."
5307,s5308,Movie,Aamhi Doghi,Pratima Joshi,"Priya Bapat, Mukta Barve, Krutik Mazire, Bhushan Pradhan",India,,2018,ALL,138 min,"Drama, International","Friendship blossoms in various relationships. Sometimes we find our best friends in a relationship designed by fate. Two women who found each other, in the midst of living parallel lives, have woven together a story of understanding. Comfort and compassion can be found where least expected. One is never alone when together with another."
5308,s5309,Movie,Aaja Nachle,Anil Mehta,"Madhuri Dixit, Darshan Jariwala, Raghuvir Yadav, Divya Dutta, Irrfan Khan, Kunal Kapoor, Konkona Sen Sharma, Ranvir Shorey, Vinay Pathak",India,,2007,ALL,143 min,Drama,"An unexpected phone call shakes Dia (Madhuri Dixit) on hearing her guru, is dying and she must return to India. It is a troubled return; not only has her guru passed away, but the institution that he so lovingly nurtured is in under threat of demolition. Ajanta theatre, the once vibrant hub. Dia promises to turn this ruin into a bustling theatre that was once the soul of her little town."
5360,s5361,Movie,Bokya Satbande,Raj Pendurkar,"Dilip Prabhavalkar, Aryan Narvekar, Kaluram Dhobale, Alok Rajwade",India,,2009,ALL,126 min,Kids,"'Bokya Satbande' is the story of a ten-year-old boy, Bokya and the adventures of his fun filled childhood."
5830,s5831,Movie,Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Aggarwal, Avtar Gill, Tom Alter, Reema Lagoo, Homi Wadia, Mushtaq Khan, Javed Khan, Deepak Tijori, Anang Desai, Veerendra Saxena, Sunil Rege, Deepa Mehta",India,,1990,ALL,145 min,"Drama, International, Romance",A small-time singer struggling for a break gets his share of fame when his girlfriend becomes a successful model. Their relationship suffers when he begins to feel burdened by her popularity.
5864,s5865,Movie,Be Dune Saade Chaar,Girish Mohite,"Mohan Joshi, Sai Tamhankar, Sanjay Narvekar, Atul Parchure, Vandana Gupte, Mugdha Shah, Sushant Shelar, Resham Tipnis, Satish Phulekar, Uday Sabnis, Sneha Wagh",India,,2009,ALL,132 min,Comedy,"Anant Kitturkar (Mohan Joshi) has actually achieved the extraordinary feat of marrying two women - Manorama (Vandana Gupte) and Anjali (Mugdha Shah) - who are unaware of each other's existence. Lies, deceit and fake identities have made Anant confident that this secret will go with him to his grave. But there's something else in store for him. And now it's pay-off time."
5872,s5873,Movie,Tula Shikwin Changlach Dhada,Girish Mohite,"Makarand Anaspure, Sanjay Narvekar, Rujuta Deshmukh, Kadambari Kadam, Mohan Joshi, Uday Sabnis, Jaywant Wadkar, Saurabh Parakhe, Vikas Samudre",India,,2007,ALL,152 min,Comedy,A struggling actor (Sanjay Narvekar) falls in love with a woman (Rujuta Dehmukh) and marries her without realizing that her uncle (Mohan Joshi) is the director who had rejected him. He then comes up with a plan to teach him a lesson.
5934,s5935,Movie,Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Farida Jalal, Reema Lagoo, Himani Shivpuri, Johnny Lever, Anupam Kher, Salman Khan, Archana Puran Singh, Sana Saeed",India,,1998,ALL,185 min,"Comedy, Drama, Music Videos and Concerts","'Kuch Kuch Hota Hai' is a Bollywood blockbuster of all times, a coming-of-age rom-com involving two love triangles set in different phases of life. Two best friends Anjali and Rahul are set apart, when a new girl named, Tina, enters Rahul's life. Years later, deceased Tina's daughter takes it upon herself to reunite the estranged lovers. But, Anjali is engaged to Aman. Who will Anjali choose now?"
5939,s5940,Movie,Kabhi Khushi Kabhie Gham,Karan Johar,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Kareena Kapoor, Farida Jalal, Alok Nath, Johnny Lever, Jaya Bhaduri Bachchan",India,,2001,ALL,209 min,"Drama, Romance","Yashvardhan Raichand is a snobbish man, he breaks ties with his elder son Rahul, for marrying a girl with lower social status. When his younger son Rohan returns home, he is upset to know that his brother no longer lives with them. Rohan decides to reunite his family and goes to London and finds Rahul. But, the question is will he be successful in convincing his egoistic father for a reunion?"
5958,s5959,Movie,Duniya,Ramesh Talwar,"Ashok Kumar, Amrita Singh, Prem Chopra, Amrish Puri, Pran, Satyendra Kapoor, Mac Mohan, Javed Khan, Sulbha Deshpande, Dilip Kumar",India,,1984,ALL,170 min,"Drama, International","The story revolves around Mohan (Dilip Kumar), a genuine and conscientious man, who is falsely framed for the murder of his good friend who also happens to be his boss. The trio that killed his friend and framed him are Mohan's fellow employees. He serves his sentence and is finally released after many years and sets out for revenge by going after the ones that caused him his misery."
6607,s6608,Movie,Zabardast,Mahesh Kothare,"Pushkar Jog, Manasi Naik, Sanjay Narvekar, Makarand Anaspure, Kishori Ambiye, Priya Berde, Abhiram Bhadkamkar, Vijay Chavan, Bharat Jadhav, Siddarth Jadhav, Rasika Joshi, Mahesh Kothare, Santosh Pawar, Aditya Redij, Sanjiv Talpade, Sunil Tawde, Yohana Vachhani",India,,2007,ALL,142 min,"Arts, Entertainment, and Culture","Pushkar finds a magic coat that fulfils wishes once someone wears it. Using it, he decides to impress the girl he loves and enter a dance reality show with her. Will he win the competition?"
6644,s6645,Movie,Full 3 Dhamaal,Mahesh Kothare,"Makarand Anaspure, Prasad Oak, Priya Berde, Suchitra Bandekar, Abhiram Bhadkamkar, Kishori Godbole, Dilip Prabhavalkar, Siddarth Jadhav, Ameya Hunaswadkar, Rasika Joshi, Savita Malpekar, Kranti Redkar, Prema Sakhardande",India,,2008,ALL,111 min,Comedy,"Three friends who had plenty of fun while in college end up living bothersome lives after marriage. They are held down by family traditions and customs. When they meet again, they decide to go back to their old ways while their husbands are away."
6659,s6660,Movie,Anari,K. Muralimohana Rao,"Venkatesh Daggubati, Karisma Kapoor, Johnny Lever, Rakhee Gulzar, Suresh Oberoi, Gulshan Grover, Laxmikant Berde, Priya Arun, Beena Banerjee, Adi Irani, Shashi Kiran, Sudha Rani, Raju Shrestha, Subbiraj",India,,1993,ALL,171 min,"Comedy, Drama, Romance","A rich girl appoints a simpleton, as her bodyguard. She soon falls in love with him, which creates havoc in his life."
6887,s6888,Movie,Jatra,Kedar Shinde,"Bharat Jadhav, Siddarth Jadhav, Viju Khote, Sanjay Khapre, Priya Berde, Vijay Chavan, Upendra Limaye, Kranti Redkar, Amir Tadwalkar, Sunil Tawde, Kushal Badrike, Munir Baghman, Mohan Bagode, Vandan Bakmis, Shankar Bhake, Jaiwant Bhalekar, Dilip Budhkar, Kishore Chougule, Kamlakar Satputhe",India,,2005,ALL,138 min,Comedy,"In this comedy drama, when two villages (Hyalagaad and Tyalagaad) fight over the right to host a religious fair, they conduct a race to make a decision. But both sides are willing to do anything to win."
7416,s7417,Movie,Chashme Bahaddar,Vijay Patkar,"Sanjay Narvekar, Dipali Sayyad, Vijay Chavan, Johnny Lever, Rajpal Yadav, Deepak Shirke, Sahil Shirvaikar, Jaiwant Bhalekar, Kishori Ambiye, Purnima Ahire, Vijay Kadam, Jayraj Nair, Arun Nalawade, Sunil Pal, Nisha Parulekar, Kamlakar Satputhe, Sunil Tawde",India,,2006,ALL,146 min,Comedy,"Rajaram (Sanjay Narvekar), an ordinary librarian, finds himself standing against a powerful builder and his goons, who want to vacate the chawl in which he resides. His life changes after receiving a pair of magical eyeglasses from his step-grandpa's spirit."
8366,s8367,Movie,Aashiqui 2,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya, Chitrak Bandyopadhyay, Bugs Bhargava, Ashish Bhatt, Gagan Gupta, Shubhangi Latkar, Soumyajit Majumdar, Nickk, Milind Phatak, Shekhar Shukla, Mahesh Thakur",India,,2013,ALL,127 min,"International, Romance",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.
8825,s8826,Movie,Sunny (4K UHD),Ranjith Sankar,Jayasurya,India,,2021,PG-13,93 min,"Drama, Suspense","The life of a failed musician, sunny takes a dramatic turn as he smuggles himself back from Dubai to Kerala in midst of a global pandemic and shuts himself from the society."
8826,s8827,Movie,Sunny,Ranjith Sankar,Jayasurya,India,,2021,PG-13,93 min,"Drama, Suspense","The life of a failed musician, sunny takes a dramatic turn as he smuggles himself back from Dubai to Kerala in midst of a global pandemic and shuts himself from the society."
