,Race,Number,Percent
0,White,751,0.4886141834743006
1,Black,378,0.24593363695510737
2,Hispanic,246,0.16005204944697463
3,Blank,114,0.0741704619388419
4,Asian,19,0.01236174365647365
5,Native,19,0.01236174365647365
6,Other,10,0.006506180871828237
